Segmento,SemanaDoMes,QtdDiasSemCompras,CamprasMedia,CamprasMediaMesAtual,UltimaCompraCancelada,Positivada
15,3,20,0.0,0,0,0
8,3,6,8.0,8,0,0
15,2,6,0.0,10,0,0
8,2,77,16.0,12,1,0
15,2,10,8.0,4,0,0
14,4,21,8.0,5,1,1
8,1,6,15.0,5,0,0
21,2,7,0.0,10,0,0
8,2,28,14.0,8,0,0
5,2,7,0.0,24,0,0
14,1,49,8.0,0,0,1
14,1,29,0.0,4,0,1
21,2,7,0.0,7,0,0
21,4,22,0.0,3,0,0
8,2,22,0.0,9,1,1
14,2,44,8.0,3,0,1
14,2,11,0.0,4,1,1
5,3,20,0.0,5,0,0
14,2,2,0.0,5,0,0
17,4,17,8.0,7,0,1
21,1,7,8.0,8,0,0
5,2,10,8.0,9,0,0
17,2,7,13.0,14,0,0
21,2,7,13.0,10,0,0
8,4,35,8.0,3,0,0
17,4,7,0.0,9,0,0
19,4,25,0.0,2,1,0
19,4,7,0.0,4,0,1
15,2,7,12.5,6,0,0
17,3,19,8.0,0,1,1
5,1,13,8.0,5,0,0
14,1,18,0.0,2,0,0
21,4,35,0.0,6,0,0
19,2,14,0.0,3,0,0
14,1,14,8.0,15,0,0
14,4,25,8.0,6,0,0
14,5,1,8.0,6,1,1
19,5,29,0.0,11,1,0
5,2,61,8.0,5,1,0
8,2,18,8.0,4,0,0
8,3,34,8.0,5,0,1
14,5,4,0.0,6,0,0
15,4,7,8.0,14,0,0
14,1,7,12.0,7,0,1
17,3,22,8.0,3,1,0
5,2,63,10.0,0,0,0
21,2,7,13.0,11,0,0
21,1,7,0.0,3,0,0
10,4,31,8.0,13,1,0
15,4,10,8.0,9,0,0
19,2,36,8.0,4,1,0
14,3,15,0.0,8,0,1
10,4,7,0.0,21,0,0
5,2,7,10.0,3,0,1
10,2,7,8.5,3,0,0
10,2,19,8.0,13,0,0
21,1,21,14.0,8,0,0
14,2,23,0.0,12,1,0
8,3,22,0.0,22,0,0
8,2,21,0.0,8,1,0
21,4,7,0.0,10,0,0
10,1,21,8.0,8,1,0
14,2,7,11.5,5,0,1
2,1,7,23.5,38,0,1
8,2,8,0.0,7,1,0
14,5,19,8.0,12,0,0
8,1,7,14.0,7,0,0
21,2,62,8.0,8,1,1
8,4,7,8.0,4,0,0
15,2,5,0.0,27,0,0
15,2,10,0.0,3,1,0
19,3,15,0.0,14,0,1
8,1,51,16.5,0,0,0
14,2,21,11.0,11,0,1
17,3,13,8.0,3,0,0
15,4,14,0.0,3,0,0
19,3,15,8.0,5,0,0
14,5,6,8.0,9,0,1
17,1,21,13.5,9,0,0
8,1,3,0.0,0,0,1
10,1,21,8.5,12,0,0
10,2,20,0.0,4,0,0
8,4,8,8.0,25,0,0
17,2,14,9.5,3,0,0
21,4,42,0.0,15,0,0
17,4,7,8.0,8,0,1
5,3,34,0.0,8,0,0
19,4,13,0.0,6,0,0
8,1,4,0.0,3,1,0
8,2,14,8.0,3,1,0
19,4,7,0.0,16,0,0
17,5,8,0.0,12,0,0
14,4,17,8.0,4,0,0
8,4,35,8.0,9,0,0
14,1,40,10.5,0,0,0
14,1,31,10.5,8,0,1
10,4,14,8.0,6,0,1
17,2,7,12.0,9,0,0
8,1,21,11.5,9,0,0
17,4,26,0.0,0,0,0
17,5,7,0.0,10,0,1
14,2,7,11.5,5,0,0
15,1,28,12.5,3,0,1
8,2,25,8.0,10,0,0
17,3,24,8.0,11,1,1
15,2,63,14.5,13,1,0
14,3,48,8.0,4,1,0
10,3,80,8.0,5,1,0
17,4,29,8.0,3,1,0
8,4,8,0.0,6,0,1
5,2,91,19.5,25,1,0
8,2,7,8.5,7,0,1
17,4,7,8.0,7,0,0
5,4,55,8.0,6,0,0
5,1,27,8.0,10,0,0
8,1,5,12.0,3,0,0
14,2,14,11.0,3,0,0
10,2,50,12.5,0,0,0
14,2,4,8.0,5,0,0
5,5,48,8.0,13,1,0
14,1,7,13.0,8,0,0
17,2,10,8.0,5,0,0
5,1,63,8.5,0,0,0
5,5,13,8.0,11,0,0
5,2,21,10.5,8,0,0
17,5,5,0.0,6,0,0
8,2,7,15.0,8,0,0
15,2,8,0.0,0,0,0
21,1,13,13.0,17,0,0
14,2,12,14.5,6,0,0
14,2,20,12.5,8,0,0
17,1,12,9.5,5,0,0
8,2,7,19.5,10,0,0
10,3,6,0.0,8,0,0
5,2,70,11.0,0,0,0
21,2,34,0.0,5,0,0
14,2,1,8.0,9,0,0
17,2,10,8.0,7,0,0
19,2,7,12.5,4,0,0
10,2,21,10.0,12,0,0
15,2,24,8.0,7,0,0
14,2,3,11.0,10,0,1
8,2,35,11.5,3,0,0
14,2,18,8.0,7,1,0
21,1,13,8.5,3,0,0
